                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.71836,                0.53969,                 1.0614,                 0.8543,                0.79551,                 0.9116,                0.69642,                0.94042,                0.63311,                 1.2369,              0.0006438,              0.0006438,              0.0006438
                     65,                 0.6735,                0.53038,                 1.0334,                0.92013,                0.79923,                0.92385,                0.67035,                 1.0153,                0.65212,                  1.292,             0.00062729,             0.00062729,             0.00062729
                     66,                0.68524,                0.52017,                 1.0452,                0.82216,                0.86667,                0.91874,                0.65541,                 1.0439,                0.66397,                 1.3204,             0.00061079,             0.00061079,             0.00061079
                     67,                0.68276,                0.52396,                 1.0528,                0.79627,                 0.8781,                 0.9148,                0.67363,                 1.0147,                0.66023,                 1.2828,             0.00059429,             0.00059429,             0.00059429
                     68,                0.68556,                0.50983,                 1.0381,                0.90004,                0.81389,                0.92342,                0.67257,                 1.0803,                0.68748,                 1.3836,             0.00057778,             0.00057778,             0.00057778
                     69,                 0.6842,                0.49597,                 1.0818,                0.93698,                0.81551,                0.93857,                0.68105,                 1.0455,                0.70148,                 1.3626,             0.00056128,             0.00056128,             0.00056128
                     70,                0.68951,                0.52319,                 1.0657,                0.77408,                0.96739,                 0.9289,                0.67402,                 1.0071,                0.66656,                 1.3116,             0.00054478,             0.00054478,             0.00054478
                     71,                0.66554,                0.51594,                 1.0514,                0.80668,                 0.9053,                 0.9071,                 0.6611,                 1.0168,                0.73005,                 1.3075,             0.00052827,             0.00052827,             0.00052827
                     72,                0.66773,                0.50071,                 1.0458,                0.78849,                0.99672,                 0.9242,                 0.6803,                 1.0184,                0.60531,                 1.3139,             0.00051177,             0.00051177,             0.00051177
                     73,                0.65241,                0.49135,                 1.0509,                0.85335,                0.91826,                0.93067,                 0.6948,                0.98416,                0.55332,                 1.2943,             0.00049527,             0.00049527,             0.00049527
                     74,                0.64213,                0.47897,                 1.0421,                0.85625,                0.92222,                0.93372,                0.69931,                 1.0012,                0.56342,                 1.3099,             0.00047876,             0.00047876,             0.00047876
                     75,                0.66758,                0.49358,                 1.0241,                 0.8437,                 0.9163,                0.93059,                 0.6871,                  1.021,                0.60876,                 1.3184,             0.00046226,             0.00046226,             0.00046226
                     76,                0.62898,                0.46131,                 1.0389,                0.79072,                0.97754,                0.91613,                0.68389,                0.97356,                0.64584,                 1.2733,             0.00044576,             0.00044576,             0.00044576
                     77,                0.65573,                0.50147,                 1.0359,                0.75197,                   0.95,                0.89253,                0.68143,                0.96952,                0.71951,                 1.2753,             0.00042925,             0.00042925,             0.00042925
                     78,                0.62617,                0.49639,                 1.0194,                0.70586,                0.92222,                0.86525,                0.64952,                0.96655,                0.73296,                 1.2959,             0.00041275,             0.00041275,             0.00041275
                     79,                0.62174,                0.47382,                 1.0119,                0.69294,                0.93365,                0.86236,                 0.6521,                0.97523,                0.75777,                 1.2876,             0.00039625,             0.00039625,             0.00039625
                     80,                0.63856,                0.47801,                 1.0276,                0.75572,                 0.9225,                0.90329,                0.67719,                 1.0217,                 0.7149,                 1.3323,             0.00037974,             0.00037974,             0.00037974
                     81,                0.61666,                0.46481,                 1.0083,                0.82313,                0.86667,                0.91277,                0.67668,                 1.0058,                0.67904,                 1.2953,             0.00036324,             0.00036324,             0.00036324
                     82,                0.63747,                0.45381,                 1.0207,                0.79137,                0.91444,                0.90686,                0.66425,                 1.0025,                0.71546,                 1.2906,             0.00034674,             0.00034674,             0.00034674
                     83,                0.59627,                0.46037,                 1.0141,                0.78632,                0.92793,                0.88465,                0.65053,                 1.0291,                0.69891,                 1.3113,             0.00033023,             0.00033023,             0.00033023
                     84,                0.59471,                0.43703,                 1.0041,                0.77731,                0.91944,                0.91202,                0.67098,                 1.0228,                0.69409,                 1.3065,             0.00031373,             0.00031373,             0.00031373
                     85,                0.55814,                 0.4243,                0.98521,                0.74295,                0.99309,                0.92272,                0.68863,                0.99634,                0.64446,                 1.3041,             0.00029723,             0.00029723,             0.00029723
                     86,                0.57987,                0.42952,                 1.0071,                0.77595,                0.98778,                0.93153,                0.68702,                 1.0153,                0.59942,                 1.3503,             0.00028072,             0.00028072,             0.00028072
                     87,                0.57886,                0.45022,                 1.0068,                 0.7293,                0.98053,                0.90682,                0.67845,                 1.0181,                0.63293,                 1.3541,             0.00026422,             0.00026422,             0.00026422
                     88,                0.56023,                0.40577,                0.99103,                0.75237,                 0.9871,                0.92403,                 0.6984,                0.98765,                0.65177,                 1.3161,             0.00024772,             0.00024772,             0.00024772
                     89,                0.57163,                0.42563,                0.97455,                0.78147,                0.90672,                0.92071,                 0.6871,                 1.0064,                0.63257,                 1.3267,             0.00023121,             0.00023121,             0.00023121
                     90,                0.58984,                0.44497,                 1.0279,                0.78938,                0.91667,                0.90554,                0.68978,                 1.0125,                0.62192,                 1.3236,             0.00021471,             0.00021471,             0.00021471
                     91,                0.53416,                0.42588,                0.97738,                0.77714,                0.91667,                0.86941,                0.64649,                 1.0017,                0.66063,                 1.3086,             0.00019821,             0.00019821,             0.00019821
                     92,                 0.5292,                0.36722,                0.94676,                0.75133,                0.86667,                0.84196,                0.62361,                 1.0328,                0.70564,                 1.3313,              0.0001817,              0.0001817,              0.0001817
                     93,                0.52005,                0.36964,                0.94653,                0.77149,                0.89167,                0.88454,                 0.6433,                 1.0654,                 0.7262,                 1.3741,              0.0001652,              0.0001652,              0.0001652
                     94,                0.51737,                0.34997,                0.93145,                0.74051,                0.93645,                0.90803,                0.66121,                 1.0443,                0.71465,                 1.3709,              0.0001487,              0.0001487,              0.0001487
                     95,                0.51178,                0.35069,                0.95752,                0.80847,                0.86667,                0.90888,                0.67076,                 1.0216,                0.71688,                 1.3522,             0.00013219,             0.00013219,             0.00013219
                     96,                0.51382,                0.33343,                0.93385,                0.77664,                0.85621,                0.89633,                0.66575,                 1.0364,                0.72095,                 1.3596,             0.00011569,             0.00011569,             0.00011569
                     97,                0.48208,                 0.3316,                0.91883,                0.75298,                0.89167,                 0.8855,                0.65599,                 1.0565,                 0.7201,                 1.3799,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.49958,                0.33527,                0.94999,                0.74439,                0.90863,                0.88285,                0.64991,                 1.0352,                0.69476,                 1.3661,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.47283,                0.31783,                0.92277,                 0.7442,                0.91667,                0.88354,                0.65345,                 1.0167,                 0.6836,                 1.3504,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.49686,                0.34703,                0.94134,                0.74301,                0.91667,                0.88489,                0.65527,                 1.0072,                0.68731,                 1.3335,             4.9677e-05,             4.9677e-05,             4.9677e-05
